line,point,lat,lng,elev_meters,time_zone,air_qual,Wind m/s,Wind angle deg,NBM_i,NBM_j
0,0,33.39610326,-113.835642,689.95,-8,1,0,0,122,244
0,1,33.38969913,-113.8340239,706.72,-8,1,0,0,122,244
0,2,33.38329499,-113.8324058,704.19,-8,1,0,0,122,244
0,3,33.37689085,-113.8307877,657.53,-8,1,0,0,121,244
0,4,33.37048672,-113.8291697,649.89,-8,1,0,0,121,244
0,5,33.36408258,-113.8275516,653.61,-8,1,0,0,121,244
0,6,33.35767844,-113.8259335,626.18,-8,1,0,0,120,244
9,0,33.73803645,-114.1819242,281.16,-8,1,0.6,33,139,234
9,1,33.74427775,-114.1858899,276.63,-8,1,0.6,33,139,233
9,2,33.75051906,-114.1898556,271.39,-8,1,0.6,33,140,233
9,3,33.75676037,-114.1938214,272.01,-8,1,0.6,33,140,233
9,4,33.76300168,-114.1977871,270.09,-8,1,0.6,33,140,233
9,5,33.76924299,-114.2017528,267.96,-8,1,0.6,33,140,233
9,6,33.77548429,-114.2057185,262.98,-8,1,0.6,33,141,233
9,7,33.7817256,-114.2096843,260.61,-8,1,0.6,33,141,233
9,8,33.78796691,-114.21365,259.01,-8,1,0.6,33,141,233
9,9,33.79420822,-114.2176157,257.05,-8,1,0.6,33,142,233
9,10,33.80044953,-114.2215815,256.74,-8,1,0.6,33,142,233
9,11,33.80669083,-114.2255472,252.5,-8,1,0.6,33,142,232
9,12,33.81293214,-114.2295129,253.45,-8,1,0.6,33,142,232
9,13,33.81917345,-114.2334786,252.03,-8,1,0.6,33,143,232
9,14,33.82541476,-114.2374444,251.66,-8,1,0.6,33,143,232
9,15,33.83165607,-114.2414101,250.8,-8,1,0.6,33,143,232
9,16,33.83789737,-114.2453758,251.35,-8,1,0.6,33,144,232
9,17,33.84413868,-114.2493415,249.73,-8,1,0.6,33,144,232
9,18,33.85037999,-114.2533073,252.24,-8,1,0.6,33,144,232
9,19,33.8566213,-114.257273,256.2,-8,1,0.6,33,144,231
9,20,33.86286261,-114.2612387,258.21,-8,1,0.6,33,145,231
9,21,33.86910391,-114.2652045,263.45,-8,1,0.6,33,145,231
9,22,33.87534522,-114.2691702,267.97,-8,1,0.6,33,145,231
9,23,33.88158653,-114.2731359,271.83,-8,1,0.6,33,146,231
9,24,33.88782784,-114.2771016,271.34,-8,1,0.6,33,146,231
9,25,33.89406915,-114.2810674,271.93,-8,1,0.6,33,146,231
9,26,33.90031045,-114.2850331,270.49,-8,1,0.6,33,147,231
9,27,33.90655176,-114.2889988,268.74,-8,1,0.6,33,147,231
9,28,33.91279307,-114.2929646,266.14,-8,1,0.6,33,147,231
18,0,33.90438607,-114.3011177,261.1,-8,1,0.4,21,147,230
18,1,33.91152725,-114.3006977,263.21,-8,1,0.4,21,147,230
18,2,33.91866843,-114.3002777,263.81,-8,1,0.4,21,147,230
18,3,33.92580961,-114.2998577,262.91,-8,1,0.4,21,148,230
18,4,33.93295079,-114.2994377,265.85,-8,1,0.4,21,148,230
18,5,33.94009197,-114.2990177,267.04,-8,1,0.4,21,148,230
18,6,33.94723315,-114.2985976,263.47,-8,1,0.4,21,149,231
18,7,33.95437432,-114.2981776,274.28,-8,1,0.4,21,149,231
18,8,33.9615155,-114.2977576,290.7,-8,1,0.4,21,149,231
18,9,33.96865668,-114.2973376,304.07,-8,1,0.4,21,150,231
18,10,33.97579786,-114.2969176,320.91,-8,1,0.4,21,150,231
18,11,33.98293904,-114.2964976,257.41,-8,1,0.4,21,150,231
18,12,33.99008022,-114.2960776,294.33,-8,1,0.4,21,151,231
18,13,33.9972214,-114.2956576,250.37,-8,1,0.4,21,151,231
18,14,34.00436258,-114.2952376,228.13,-8,1,0.4,21,151,231
18,15,34.01150375,-114.2948175,204.72,-8,1,0.4,21,152,231
18,16,34.01864493,-114.2943975,179.31,-8,1,0.4,21,152,231
18,17,34.02578611,-114.2939775,177.37,-8,1,0.4,21,152,231
18,18,34.03292729,-114.2935575,171.99,-8,1,0.4,21,152,231
18,19,34.04006847,-114.2931375,169.59,-8,1,0.4,21,153,231
18,20,34.04720965,-114.2927175,128.09,-8,1,0.4,21,153,231
18,21,34.05435083,-114.2922975,153.13,-8,1,0.4,21,153,231
18,22,34.06149201,-114.2918775,131.22,-8,1,0.4,21,154,232
18,23,34.06863319,-114.2914574,120.66,-8,1,0.4,21,154,232
18,24,34.07577436,-114.2910374,121.33,-8,1,0.4,21,154,232
18,25,34.08291554,-114.2906174,115.68,-8,1,0.4,21,155,232
18,26,34.09005672,-114.2901974,107.39,-8,1,0.4,21,155,232
18,27,34.0971979,-114.2897774,107.42,-8,1,0.4,21,155,232
18,28,34.10433908,-114.2893574,107.79,-8,1,0.4,21,156,232
18,29,34.11148026,-114.2889374,111.8,-8,1,0.4,21,156,232
18,30,34.11862144,-114.2885174,125.1,-8,1,0.4,21,156,232
18,31,34.12576262,-114.2880973,125.01,-8,1,0.4,21,156,232
18,32,34.13290379,-114.2876773,126.12,-8,1,0.4,21,157,232
18,33,34.14004497,-114.2872573,126.82,-8,1,0.4,21,157,232
18,34,34.14718615,-114.2868373,128.62,-8,1,0.4,21,157,232
18,35,34.15432733,-114.2864173,130.3,-8,1,0.4,21,158,232
18,36,34.16146851,-114.2859973,125.83,-8,1,0.4,21,158,232
18,37,34.16860969,-114.2855773,104.82,-8,1,0.4,21,158,232
18,38,34.17575087,-114.2851573,148.89,-8,1,0.4,21,159,233
18,39,34.18289205,-114.2847372,175.6,-8,1,0.4,21,159,233
18,40,34.19003322,-114.2843172,183.41,-8,1,0.4,21,159,233
18,41,34.1971744,-114.2838972,196.87,-8,1,0.4,21,160,233
18,42,34.20431558,-114.2834772,211.83,-8,1,0.4,21,160,233
18,43,34.21145676,-114.2830572,229.16,-8,1,0.4,21,160,233
18,44,34.21859794,-114.2826372,242.71,-8,1,0.4,21,160,233
18,45,34.22573912,-114.2822172,279.72,-8,1,0.4,21,161,233
18,46,34.2328803,-114.2817972,294.56,-8,1,0.4,21,161,233
18,47,34.24002148,-114.2813771,283.62,-8,1,0.4,21,161,233
18,48,34.24716265,-114.2809571,292.95,-8,1,0.4,21,162,233
18,49,34.25430383,-114.2805371,320.83,-8,1,0.4,21,162,233
18,50,34.26144501,-114.2801171,342.81,-8,1,0.4,21,162,233
18,51,34.26858619,-114.2796971,508.46,-8,1,0.4,21,163,233
18,52,34.27572737,-114.2792771,386.16,-8,1,0.4,21,163,233
18,53,34.28286855,-114.2788571,433.57,-8,1,0.4,21,163,233
18,54,34.29000973,-114.2784371,452.39,-8,1,0.4,21,164,234
18,55,34.29715091,-114.278017,484.68,-8,1,0.4,21,164,234
18,56,34.30429208,-114.277597,512.82,-8,1,0.4,21,164,234
18,57,34.31143326,-114.277177,523.02,-8,1,0.4,21,165,234
18,58,34.31857444,-114.276757,374.84,-8,1,0.4,21,165,234
18,59,34.32571562,-114.276337,577.78,-8,1,0.4,21,165,234
18,60,34.3328568,-114.275917,581.24,-8,1,0.4,21,165,234
18,61,34.33999798,-114.275497,333.61,-8,1,0.4,21,166,234
18,62,34.34713916,-114.275077,269.31,-8,1,0.4,21,166,234
18,63,34.35428034,-114.274657,261.24,-8,1,0.4,21,166,234
19,0,33.90438607,-114.3011177,261.1,-8,1,0,0,147,230
19,1,33.90236544,-114.3093525,256.11,-8,1,0,0,147,230
19,2,33.9003448,-114.3175874,243.83,-8,1,0,0,147,230
19,3,33.89832417,-114.3258222,234.07,-8,1,0,0,147,229
19,4,33.89630354,-114.334057,224.81,-8,1,0,0,147,229
19,5,33.8942829,-114.3422918,215.82,-8,1,0,0,147,229
19,6,33.89226227,-114.3505266,207.71,-8,1,0,0,147,228
19,7,33.89024163,-114.3587614,195.73,-8,1,0,0,147,228
19,8,33.888221,-114.3669963,188.07,-8,1,0,0,146,228
19,9,33.88620036,-114.3752311,180.07,-8,1,0,0,146,227
19,10,33.88417973,-114.3834659,174.95,-8,1,0,0,146,227
19,11,33.88215909,-114.3917007,153.81,-8,1,0,0,146,227
19,12,33.88013846,-114.3999355,143.58,-8,1,0,0,146,226
19,13,33.87811782,-114.4081704,138.89,-8,1,0,0,146,226
19,14,33.87609719,-114.4164052,97,-8,1,0,0,146,226
19,15,33.87407655,-114.42464,95.22,-8,1,0,0,146,226
19,16,33.87205592,-114.4328748,94.88,-8,1,0,0,146,225
19,17,33.87003528,-114.4411096,94.03,-8,1,0,0,146,225
19,18,33.86801465,-114.4493444,94.33,-8,1,0,0,146,225
19,19,33.86599402,-114.4575793,93.14,-8,1,0,0,146,224
19,20,33.86397338,-114.4658141,92.13,-8,1,0,0,146,224
19,21,33.86195275,-114.4740489,92.43,-8,1,0,0,146,224
19,22,33.85993211,-114.4822837,93.1,-8,1,0,0,146,223
19,23,33.85791148,-114.4905185,92.03,-8,1,0,0,146,223
19,24,33.85589084,-114.4987534,92.03,-8,1,0,0,146,223
19,25,33.85387021,-114.5069882,92.06,-8,1,0,0,146,222
19,26,33.85184957,-114.515223,92.06,-8,1,0,0,146,222
19,27,33.84982894,-114.5234578,92.06,-8,1,0,0,146,222
19,28,33.8478083,-114.5316926,97.2,-8,1,0,0,146,222
19,29,33.84578767,-114.5399274,109.67,-8,1,0,0,146,221
19,30,33.84376703,-114.5481623,125.26,-8,1,0,0,145,221
19,31,33.8417464,-114.5563971,140.87,-8,1,0,0,145,220
19,32,33.83972577,-114.5646319,158.96,-8,1,0,0,145,220
19,33,33.83770513,-114.5728667,178.52,-8,1,0,0,145,220
19,34,33.8356845,-114.5811015,183.3,-8,1,0,0,145,220
19,35,33.83366386,-114.5893364,211.77,-8,1,0,0,145,219
19,36,33.83164323,-114.5975712,284.92,-8,1,0,0,145,219
19,37,33.82962259,-114.605806,383.11,-8,1,0,0,145,219
19,38,33.82760196,-114.6140408,375.32,-8,1,0,0,145,218
19,39,33.82558132,-114.6222756,596.89,-8,1,0,0,145,218
19,40,33.82356069,-114.6305104,616.02,-8,1,0,0,145,218
19,41,33.82154005,-114.6387453,506.7,-8,1,0,0,145,217
19,42,33.81951942,-114.6469801,752.08,-8,1,0,0,145,217
19,43,33.81749878,-114.6552149,604.4,-8,1,0,0,145,217
19,44,33.81547815,-114.6634497,499.8,-8,1,0,0,145,216
19,45,33.81345752,-114.6716845,366.95,-8,1,0,0,145,216
19,46,33.81143688,-114.6799194,322.53,-8,1,0,0,145,216
19,47,33.80941625,-114.6881542,269.24,-8,1,0,0,145,216
19,48,33.80739561,-114.696389,280.63,-8,1,0,0,145,215
19,49,33.80537498,-114.7046238,255.89,-8,1,0,0,145,215
19,50,33.80335434,-114.7128586,248.27,-8,1,0,0,145,215
19,51,33.80133371,-114.7210934,243.73,-8,1,0,0,145,214
19,52,33.79931307,-114.7293283,233.77,-8,1,0,0,144,214
19,53,33.79729244,-114.7375631,228.16,-8,1,0,0,144,214
19,54,33.7952718,-114.7457979,221.53,-8,1,0,0,144,213
19,55,33.79325117,-114.7540327,215.28,-8,1,0,0,144,213
19,56,33.79123053,-114.7622675,210.92,-8,1,0,0,144,213
19,57,33.7892099,-114.7705024,208.69,-8,1,0,0,144,212
19,58,33.78718927,-114.7787372,206.08,-8,1,0,0,144,212
19,59,33.78516863,-114.786972,201.8,-8,1,0,0,144,212
19,60,33.783148,-114.7952068,205.88,-8,1,0,0,144,211
19,61,33.78112736,-114.8034416,209.66,-8,1,0,0,144,211
19,62,33.77910673,-114.8116764,215.22,-8,1,0,0,144,211
19,63,33.77708609,-114.8199113,218.23,-8,1,0,0,144,211
20,0,33.91086601,-114.3134024,246.73,-8,1,0,0,147,230
20,1,33.91801786,-114.3127775,248.6,-8,1,0,0,147,230
20,2,33.9251697,-114.3121526,250.53,-8,1,0,0,148,230
20,3,33.93232155,-114.3115276,251.79,-8,1,0,0,148,230
20,4,33.93947339,-114.3109027,255.19,-8,1,0,0,148,230
20,5,33.94662523,-114.3102778,256.69,-8,1,0,0,149,230
20,6,33.95377708,-114.3096529,273.46,-8,1,0,0,149,230
20,7,33.96092892,-114.3090279,294.16,-8,1,0,0,149,230
20,8,33.96808077,-114.308403,352.59,-8,1,0,0,150,230
20,9,33.97523261,-114.3077781,458.85,-8,1,0,0,150,230
20,10,33.98238445,-114.3071532,395.41,-8,1,0,0,150,230
20,11,33.9895363,-114.3065282,247.6,-8,1,0,0,151,231
20,12,33.99668814,-114.3059033,202.52,-8,1,0,0,151,231
20,13,34.00383998,-114.3052784,174.61,-8,1,0,0,151,231
20,14,34.01099183,-114.3046534,140.18,-8,1,0,0,151,231
20,15,34.01814367,-114.3040285,166.64,-8,1,0,0,152,231
20,16,34.02529552,-114.3034036,164.49,-8,1,0,0,152,231
20,17,34.03244736,-114.3027787,158.08,-8,1,0,0,152,231
20,18,34.0395992,-114.3021537,166.89,-8,1,0,0,153,231
20,19,34.04675105,-114.3015288,161.43,-8,1,0,0,153,231
20,20,34.05390289,-114.3009039,124.9,-8,1,0,0,153,231
20,21,34.06105474,-114.300279,118.66,-8,1,0,0,154,231
20,22,34.06820658,-114.299654,110.12,-8,1,0,0,154,231
20,23,34.07535842,-114.2990291,107.59,-8,1,0,0,154,231
20,24,34.08251027,-114.2984042,108.29,-8,1,0,0,155,232
20,25,34.08966211,-114.2977793,107.57,-8,1,0,0,155,232
20,26,34.09681396,-114.2971543,107.29,-8,1,0,0,155,232
20,27,34.1039658,-114.2965294,108,-8,1,0,0,156,232
20,28,34.11111764,-114.2959045,108.79,-8,1,0,0,156,232
20,29,34.11826949,-114.2952795,122.74,-8,1,0,0,156,232
20,30,34.12542133,-114.2946546,123.08,-8,1,0,0,156,232
20,31,34.13257317,-114.2940297,124.11,-8,1,0,0,157,232
20,32,34.13972502,-114.2934048,125.62,-8,1,0,0,157,232
20,33,34.14687686,-114.2927798,127.02,-8,1,0,0,157,232
20,34,34.15402871,-114.2921549,125.17,-8,1,0,0,158,232
20,35,34.16118055,-114.29153,113.76,-8,1,0,0,158,232
20,36,34.16833239,-114.2909051,104.22,-8,1,0,0,158,232
20,37,34.17548424,-114.2902801,147.62,-8,1,0,0,159,232
20,38,34.18263608,-114.2896552,170.02,-8,1,0,0,159,232
20,39,34.18978793,-114.2890303,184.84,-8,1,0,0,159,232
20,40,34.19693977,-114.2884053,206.46,-8,1,0,0,160,233
20,41,34.20409161,-114.2877804,221.6,-8,1,0,0,160,233
20,42,34.21124346,-114.2871555,232.02,-8,1,0,0,160,233
20,43,34.2183953,-114.2865306,244.25,-8,1,0,0,160,233
20,44,34.22554715,-114.2859056,281.78,-8,1,0,0,161,233
20,45,34.23269899,-114.2852807,298.74,-8,1,0,0,161,233
20,46,34.23985083,-114.2846558,286.34,-8,1,0,0,161,233
20,47,34.24700268,-114.2840309,296.92,-8,1,0,0,162,233
20,48,34.25415452,-114.2834059,317.98,-8,1,0,0,162,233
20,49,34.26130636,-114.282781,349.19,-8,1,0,0,162,233
20,50,34.26845821,-114.2821561,454.97,-8,1,0,0,163,233
20,51,34.27561005,-114.2815311,389.74,-8,1,0,0,163,233
20,52,34.2827619,-114.2809062,422.99,-8,1,0,0,163,233
20,53,34.28991374,-114.2802813,454.82,-8,1,0,0,164,233
20,54,34.29706558,-114.2796564,501.71,-8,1,0,0,164,233
20,55,34.30421743,-114.2790314,516.99,-8,1,0,0,164,234
20,56,34.31136927,-114.2784065,564.32,-8,1,0,0,165,234
20,57,34.31852112,-114.2777816,406.42,-8,1,0,0,165,234
20,58,34.32567296,-114.2771567,541.35,-8,1,0,0,165,234
20,59,34.3328248,-114.2765317,590.84,-8,1,0,0,165,234
20,60,34.33997665,-114.2759068,340.3,-8,1,0,0,166,234
20,61,34.34712849,-114.2752819,268.44,-8,1,0,0,166,234
20,62,34.35428034,-114.274657,261.24,-8,1,0,0,166,234
21,0,33.91086601,-114.3134024,246.73,-8,1,0,0,147,230
21,1,33.91518835,-114.3203326,237.8,-8,1,0,0,147,230
21,2,33.91951068,-114.3272627,231.92,-8,1,0,0,148,229
21,3,33.92383301,-114.3341929,222.28,-8,1,0,0,148,229
21,4,33.92815534,-114.341123,212.7,-8,1,0,0,148,229
21,5,33.93247768,-114.3480532,200.58,-8,1,0,0,148,229
21,6,33.93680001,-114.3549833,150.2,-8,1,0,0,149,229
21,7,33.94112234,-114.3619135,101.4,-8,1,0,0,149,228
21,8,33.94544468,-114.3688436,98.13,-8,1,0,0,149,228
21,9,33.94976701,-114.3757737,98.12,-8,1,0,0,149,228
21,10,33.95408934,-114.3827039,98.7,-8,1,0,0,149,228
21,11,33.95841167,-114.389634,99.64,-8,1,0,0,150,227
21,12,33.96273401,-114.3965642,98.18,-8,1,0,0,150,227
21,13,33.96705634,-114.4034943,100.81,-8,1,0,0,150,227
21,14,33.97137867,-114.4104245,98.46,-8,1,0,0,150,227
21,15,33.975701,-114.4173546,98.11,-8,1,0,0,151,227
21,16,33.98002334,-114.4242848,98.11,-8,1,0,0,151,226
